Name,Year Published,Users Rated,Rating Average
In the Hall of the Mountain King,2019,2029,7.89
Brew Crafters,2013,2802,7.44
Conflict of Heroes: Awakening the Bear! - Operation Barbarossa 1941 (Second Edition),2012,1717,7.98
Friedrich,2004,2506,7.55
Legendary: A Marvel Deck Building Game - Villains,2014,2544,7.6
Hyperborea,2014,4393,7.21
Carcassonne: The City,2004,4210,7.2
Bonfire,2020,1585,7.98
Dogs of War,2014,2536,7.52
Not Alone,2016,7959,7.02
Perudo,1800,12606,6.9
Ricochet Robots,1999,8014,7.0
New Frontiers,2018,2189,7.61
Summoner Wars: Guild Dwarves vs Cave Goblins,2009,2329,7.58
Fugitive,2017,3922,7.22
Ca$h 'n Guns (Second Edition),2014,12627,6.89
My City,2020,1722,7.87
Celestia,2015,8395,6.98
Thunderstone,2009,10086,6.94
878 Vikings: Invasions of England,2017,2491,7.55
San Marco,2001,4241,7.17
Bridge,1925,2891,7.46
Genoa,2001,5910,7.07
Smash Up: Science Fiction Double Feature,2014,3677,7.3
Santiago,2003,4822,7.12
The Palaces of Carrara,2012,4066,7.18
Maharaja: The Game of Palace Building in India,2004,4872,7.13
Homesteaders,2009,3482,7.24
